h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0010039921653858244,0.0010051374807092941,-1.8979836369226177e-07,-1.8979836369226177e-06,-5.726576617348655e-06
0.01,0.00100416914101109,0.0010041967024912992,-1.2822738426621072e-08,-1.2822738426621072e-06,-1.3780740104607503e-06
0.001,0.0010041807624668877,0.0010041832708497225,-1.2012826289264922e-09,-1.2012826289264922e-06,-1.2541914173880286e-06
0.0001,0.0010041818407474637,0.001004182123525709,-1.2300205298743094e-10,-1.2300205298743094e-06,-1.4138912263206294e-06
1e-05,0.001004181987183216,0.001004182011888787,2.3433699425368104e-11,2.3433699425368104e-06,-1.2352785461189342e-06
1e-06,0.0010041819983778169,0.0010041819649823083,3.462830022726848e-11,3.462830022726848e-05,1.6697754290362354e-05
1e-07,0.001004181963632277,0.0010041819638738616,-1.1723955140041653e-13,-1.1723955140041653e-06,-1.2079226507921703e-06
1e-08,0.001004181963745964,0.0010041819637601748,-3.552713678800501e-15,-3.552713678800501e-07,-7.105427357601002e-07
1e-09,0.001004181963745964,0.0010041819637495166,-3.552713678800501e-15,-3.5527136788005005e-06,-1.7763568394002503e-06
1e-10,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-11,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-12,0.0010041819637495166,0.0010041819638845198,0.0,0.0,-0.06750155989720952
1e-13,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-14,0.0010041819995360015,0.0010041819637495166,3.5786484886557446e-11,3578.6484886557446,1789.3242443278723
1e-15,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-16,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-17,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-18,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-19,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-20,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-21,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
1e-22,0.0010041819637495166,0.0010041819637495166,0.0,0.0,0.0
