h,fPlus,fMinus,deltaForward,dfForward,dfCentral
0.1,0.0024249203537275435,0.0026746364971140793,-6.898982130110198e-05,-0.0006898982130110198,-0.001248580716932679
0.01,0.002489169947632263,0.0024992725317029,-4.740227396382579e-06,-0.0004740227396382579,-0.0005051292035318511
0.001,0.0024934665021115734,0.002494391206023238,-4.436729170720355e-07,-0.0004436729170720355,-0.00046235195583221866
0.0001,0.0024938648146767264,0.0024939689665709466,-4.536035191904375e-08,-0.0004536035191904375,-0.0005207594711009733
1e-05,0.002493918707183184,0.00249392781607105,8.532154538443137e-09,0.0008532154538443136,-0.0004554443933102447
1e-06,0.00249392283462646,0.002493910630571804,1.2659597814490553e-08,0.012659597814490553,0.006102027327870019
1e-07,0.0024939101293407475,0.002493910220560224,-4.568789790937444e-11,-0.0004568789790937444,-0.0004560973820844083
1e-08,0.0024939101704243285,0.0024939101796471732,-4.604316927725449e-12,-0.0004604316927725449,-0.000461142235508305
1e-09,0.0024939101747302175,0.002493910175483393,-2.984279490192421e-13,-0.0002984279490192421,-0.0003765876499528531
1e-10,0.002493910174971802,0.0024939101751139106,-5.684341886080802e-14,-0.0005684341886080801,-0.0007105427357601002
1e-11,0.0024939101750144346,0.0024939101750286454,-1.4210854715202004e-14,-0.0014210854715202004,-0.0007105427357601002
1e-12,0.0024939101750286454,0.002493910223501871,0.0,0.0,-24.236612716777017
1e-13,0.0024939101750144346,0.0024939101750286454,-1.4210854715202004e-14,-0.14210854715202004,-0.07105427357601002
1e-14,0.002493923259900498,0.0024939101750286454,1.3084871852697688e-08,1308487.1852697688,654243.5926348844
1e-15,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-16,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-17,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-18,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-19,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-20,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-21,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
1e-22,0.0024939101750286454,0.0024939101750286454,0.0,0.0,0.0
